sublation.nl 181.214.170.118 - - [29/Aug/2017:09:34:05 +0200] "GET / HTTP/1.1" 401 381 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:46 +0200] "GET /index.html HTTP/1.1" 500 532 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:47 +0200] "GET /favicon.ico HTTP/1.1" 500 532 "http://sublation.nl/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:47 +0200] "GET /index.html HTTP/1.1" 500 532 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:47 +0200] "GET /favicon.ico HTTP/1.1" 500 532 "http://sublation.nl/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:48 +0200] "GET /index.html HTTP/1.1" 500 532 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:48 +0200] "GET /favicon.ico HTTP/1.1" 500 532 "http://sublation.nl/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:48 +0200] "GET /index.html HTTP/1.1" 500 532 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:48 +0200] "GET /favicon.ico HTTP/1.1" 500 532 "http://sublation.nl/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:48 +0200] "GET /index.html HTTP/1.1" 500 532 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:49 +0200] "GET /favicon.ico HTTP/1.1" 500 532 "http://sublation.nl/index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
sublation.nl 83.83.2.89 - shii [29/Aug/2017:16:22:49 +0200] "GET /index.html HTTP/1.1" 500 532 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36"
